latency,tokens,tps
1.5999764169973787,44,27.500405338831996
2.2494569169939496,166,73.79558983589394
6.77357812502305,314,46.356592365860024
6.770729208015837,119,17.575654902741704
4.531378125015181,231,50.977868901467176
4.294736833020579,106,24.681372601228272
2.5998414590139873,172,66.15788028291253
1.6318468330136966,115,70.472300263388
1.003094791987678,31,30.90435744220353
5.1190766250074375,322,62.90196916119265
5.530704291013535,334,60.39013883687361
6.817476249998435,479,70.26060413486735
4.153108250000514,27,6.501154888027939
2.460304417007137,126,51.2131747311473
2.2245715409808327,107,48.09914989419616
2.662461625004653,130,48.826994830309644
1.736356125009479,52,29.94777353045368
5.347986832988681,353,66.00614605528651
5.140752042003442,375,72.94652551533217
2.6484832920250483,106,40.02290681582955
2.646345167013351,45,17.004584496733177
3.7892911249946337,191,50.4052060661532
4.814404459000798,340,70.62140351842501
5.357545584003674,361,67.38160120893009
4.297241958993254,297,69.11409756167892
4.431705958995735,362,81.68411969327326
3.8867062909994274,191,49.14186606852824
2.1508426670043264,14,6.509076751531561
1.815057915984653,92,50.68708782776819
3.5552651670004707,176,49.504043083371144
1.4638919169956353,93,63.52928035210764
6.756506292003905,416,61.57028233546112
6.850049250002485,413,60.29153731994703
2.864247207995504,217,75.76161701205388
2.863501083018491,81,28.28705059004755
5.702907625003718,449,78.73176798996587
4.780813749996014,114,23.845312944913417
4.778449584002374,24,5.022549590216222
3.893658957997104,130,33.38761853628596
4.709910291974666,336,71.33893835993412
2.970200959010981,171,57.57186209277222
2.354655167000601,128,54.360401384398266
2.353278541006148,139,59.06653104505442
2.352909625013126,104,44.200592702076186
4.639149291993817,236,50.87139584132067
5.675515749986516,442,77.87838488529437
3.891371874982724,249,63.98771641456278
3.389034249994438,145,42.78505004788251
4.312346125021577,302,70.03148431145215
6.863750082993647,332,48.370059513471844
6.243669207993662,491,78.63965620910557
2.285087584023131,139,60.82917826513951
1.6487339579907712,118,71.57006709790865
1.6473093329987023,78,47.34994116618742
2.4145677920023445,111,45.970960255354974
2.4154873749939725,163,67.48120552706543
2.508927709015552,183,72.93952685141541
4.390091124980245,258,58.76871177728936
3.167093083000509,120,37.88963470764548
3.77959741698578,265,70.11328741232363
4.512941332999617,315,69.79926765204124
2.774200124986237,20,7.209285235000565
3.3798290839768015,215,63.61268414999997
4.599891292018583,241,52.39254249729048
4.188630541000748,274,65.41517503583304
2.5479554579942487,187,73.39217780015922
3.366733667004155,159,47.226782907803965
4.6837025829881895,267,57.006181598673315
3.4799650839995593,282,81.03529581276561
6.652470417000586,523,78.61741085889807
1.8361914169800002,102,55.549764069674325
3.71426100001554,297,79.96207051651928
4.8104299580154475,293,60.90931633081666
4.612645459012128,260,56.36678611229816
4.404501082986826,100,22.70404709088798
4.405046415980905,265,60.158276434640115
3.8926153329957742,208,53.434511814431524
4.216993709007511,315,74.69776379489471
2.527027749980334,71,28.096248646479065
5.014734875003342,312,62.21664909050493
5.937664666009368,351,59.11415004780032
3.787428582989378,96,25.347012596136718
3.787332583015086,296,78.15526984016681
3.5930866670096293,283,78.76236401375998
4.20524291601032,331,78.71126748464575
3.9940772090048995,29,7.260750977626989
6.26077395901666,517,82.57764988551062
5.32238325002254,253,47.535096236996566
3.331271333998302,72,21.613370026386658
3.330892333004158,197,59.143310652231186
3.176127417013049,191,60.136126459190876
3.250731125008315,254,78.13626849847519
2.564346083003329,20,7.799259285851252
5.938424000021769,287,48.32932104527193
2.243604250019416,198,88.25085796583177
1.9893131660064682,107,53.78740855307449
4.079641082993476,300,73.53588070543503
6.448095749976346,344,53.34908371999003
5.21755899998243,439,84.13896230047007
5.65297495800769,353,62.44499624042379
