latency,tokens,tps
17.784685000000536,512,28.788814645858757
9.566934800001036,256,26.758831888346545
8.072082499998942,210,26.015591391691988
4.776350199999797,97,20.30839363495669
3.1372695000009116,40,12.7499406729286
11.23051950000081,308,27.425267370755
9.566805700000259,256,26.759192987476798
11.230908000001364,309,27.513358670551167
11.131671000001006,304,27.309466835659492
14.482371100000819,417,28.793627584917804
15.412941800001136,449,29.131362839504586
8.28840880000098,217,26.18114106533625
7.823067700001047,202,25.82107272316881
9.033049099998607,239,26.45839708764971
7.0264205999992555,175,24.905995522103893
11.003782499999943,301,27.35423023855675
0.8555928999994649,28,32.72584426544156
4.393230699999549,148,33.68819215435583
11.356079999999565,364,32.0533141717929
0.9863418000004458,31,31.429267217495994
7.186280100000658,231,32.1445861816573
0.6469420999983413,19,29.368934252460484
4.00744019999911,122,30.443373802565315
10.898992500000531,330,30.2780279920354
11.590995900000053,353,30.45467387319138
5.879122700000153,188,31.977560189379126
1.2408372999998392,35,28.206760064356978
2.5132214999994176,75,29.842176664499082
7.032822600000145,214,30.42874990192353
2.52938610000092,81,32.023580741576204
5.373644699999204,163,30.333229883997383
10.299336500000209,305,29.61355811609746
0.5234809000012319,13,24.83376184301931
0.8487837000011496,24,28.275755059819712
12.330283299999792,373,30.250724247350124
13.728331199999957,417,30.375141299038685
6.755608600000414,204,30.197131313970363
12.378748999999516,374,30.213069188171975
11.816048499998942,354,29.959254144905692
7.709913900000174,218,28.275283333578482
9.732682099998783,283,29.077287955396734
5.926260099999126,159,26.829737020827594
7.526174999999057,208,27.636880619973102
4.3657683999990695,124,28.402789300510406
12.76543700000002,396,31.021264685259062
9.966589800000293,301,30.20090181698771
1.253889600000548,29,23.12803296238148
16.218666000000667,512,31.568564270327716
7.929189500000575,244,30.772375915594186
16.13977580000028,512,31.722869409375015
6.560422000000472,198,30.18098530856487
5.541656100000182,167,30.135395807039437
8.801508399999875,284,32.26719638192972
7.910614899999928,257,32.48799281077408
15.723142299999381,512,32.563465383126385
15.652966200001174,512,32.70945541299141
7.937618100000691,257,32.377471019924435
9.715961300000345,319,32.83257210997626
7.660499699999491,248,32.37386720346931
1.9467236000000412,59,30.30733279238961
15.697246200001246,512,32.61718606413648
2.3008215999998356,76,33.031678770751036
11.505718799999158,378,32.853227735761074
4.690908700000364,157,33.46899503714234
7.578147000000172,252,33.25351170939206
15.778849199999968,512,32.44850074364112
9.368686800000432,306,32.66199484862552
11.204466699999102,361,32.21929340019627
9.035773300000074,293,32.42666568449627
9.340567699999156,305,32.65326153570169
7.462927099999433,240,32.15896347158721
4.337345099998856,139,32.04725397571816
7.196841699998913,235,32.653212311177484
10.305334700000458,331,32.119286722437586
4.7349039999990055,150,31.679628562697683
11.556930000000648,383,33.14028898677923
11.283663899999738,374,33.145262329198644
13.87924010000097,471,33.935575478658016
4.039892599999803,126,31.188947943815673
10.805132800000138,361,33.41004749150287
4.158313600000838,128,30.781709200569722
9.8549495999996,328,33.28276787940278
8.343521699998746,275,32.959703334868934
10.879582900000969,368,33.8248261337268
5.088342099999863,163,32.03400966299109
0.7302066000011109,20,27.38950866777919
5.090748799999346,163,32.0188652797052
7.454151200001434,248,33.270052262952795
8.399646900001244,286,34.049050323765115
6.239513600001374,209,33.49620072948539
4.8616670000010345,165,33.938976075482934
14.07011650000095,512,36.389179862154336
8.176350699999603,291,35.59044990572801
11.681371700000454,426,36.468319897737985
13.83924560000014,512,36.996236268832085
13.826242999999522,512,37.03102860263758
7.493952100001479,276,36.829698978186094
2.5091756000001624,88,35.07127998534431
9.505363299998862,352,37.03172502623252
3.6422419999998965,132,36.24141394229262
