latency,tokens,tps
1.7682603749854024,96,54.29064710042632
2.049432666011853,111,54.161330518852
0.4616674580029212,16,34.65698030615526
2.9743072089913767,183,61.5269328759276
3.791258999990532,258,68.05127267766309
0.6141355420113541,26,42.335931111961784
4.405894583003828,215,48.79826240722682
4.819707582995761,228,47.30577448399539
1.5321467499888968,115,75.05808435179814
2.149624000012409,143,66.52326174213468
6.769740999996429,552,81.53930852011786
2.0924148339836393,109,52.09292069129552
7.271781749994261,404,55.55722295987759
5.301573083997937,396,74.69481109206455
1.8611255830037408,68,36.53702932300368
5.693998832983198,343,60.23886025636847
0.9236714589933399,49,53.04916539632228
2.7120952919940464,92,33.9221119079329
7.161921958992025,425,59.34161282871824
3.9392673750116955,137,34.778040421689646
5.4157287499983795,354,65.36516438348319
5.652861500013387,275,48.647928133273524
0.9506649999821093,13,13.67463827977747
4.472186041995883,289,64.62164080075317
2.603793417016277,170,65.28935778430738
5.137579417001689,356,69.293332736015
1.3648489579791203,89,65.20868076990651
5.709644249989651,397,69.53147737719729
1.8873734999797307,100,52.983683410344554
4.698125124996295,369,78.54196944154207
0.4936089999973774,29,58.75095470332607
1.7728757910081185,49,27.63871008252468
3.683440957975108,270,73.30102561177651
3.0381822919880506,219,72.08257403695688
2.0699877089937218,127,61.35302129969565
2.0625817920081317,113,54.785706165854926
2.0846891670080367,146,70.03442158695553
2.2946738750033546,140,61.01084843692454
2.9279259580071084,143,48.840032859756086
2.362842583010206,124,52.479162552600904
7.313619874999858,384,52.504779652635065
6.352648500003852,465,73.19781662714662
7.421804875019006,392,52.81734114560592
5.219542209000792,374,71.65379357504938
2.3831180419947486,176,73.85282512178128
2.0304363750037737,144,70.92071525744429
4.009093750006286,269,67.09745812244431
4.705300833011279,241,51.2188292636256
1.7373272080149036,117,67.34482684680106
1.0266238750191405,72,70.13279327704863
5.8437462500005495,451,77.17652011326769
1.7576312919845805,119,67.70475727342932
4.617332875001011,330,71.46983094649153
2.4965877079812344,158,63.28638064462809
0.36827337500290014,19,51.592108715028274
2.5273666670254897,171,67.6593555778962
2.1441501250083093,131,61.096468233301685
7.085248999996111,288,40.64783044324315
7.2804621669929475,513,70.46255968827933
4.528155625012005,325,71.77315156855687
3.982258834003005,278,69.80962604094513
4.659979291987838,283,60.72988360411336
3.5296374580066185,240,67.99565192045
2.687306833016919,152,56.562205004836166
2.619250916002784,153,58.4136476063515
4.461266500002239,187,41.916348193927924
4.831548707996262,301,62.29886485503953
1.8984296249982435,122,64.26364106075982
3.613245915999869,250,69.18986579157848
1.7548162919993047,110,62.68462431168469
4.821005375008099,232,48.12274244759793
3.8453257079818286,192,49.93075088579917
1.049259040999459,76,72.43206589633682
2.734682167007122,227,83.00781814379265
4.970391500013648,274,55.12644225293876
3.9873412910092156,223,55.92699087555598
4.857480541017139,314,64.64256466877158
6.900513291009702,609,88.25430432739438
1.4215129579824861,96,67.53367914158879
0.5957159579847939,29,48.680918500323685
4.40353354200488,321,72.89600429700651
1.1095523750118446,70,63.08850449646665
5.180567500006873,224,43.23850620606773
3.6069882909941953,265,73.46849466122275
3.9650689589907415,280,70.61667852335927
0.4249595830042381,22,51.769629112659864
4.457056874991395,379,85.03369165571435
6.262264082994079,257,41.03947016509795
3.4783605830161832,214,61.523236275416465
1.7694212089991197,136,76.86129187799719
3.3259558340068907,219,65.84573305537955
3.3615213750163093,249,74.07360305682778
5.490035082999384,358,65.20905505842651
2.3880353329877835,185,77.46954052331286
7.012125500012189,552,78.72078159454512
6.1508341250009835,534,86.81749322900406
4.126609750004718,347,84.0883972611181
5.251332540996373,451,85.88296332009257
5.715920457994798,374,65.43128140925931
6.478786874999059,529,81.6510884223332
