latency,tokens,tps
9.252733600000283,332,35.881288098469604
7.889086700000917,309,39.16803195989266
1.0207222000008187,39,38.20824118449537
4.3230479000012565,166,38.39883430390668
7.2137194000006275,296,41.03292401420192
4.840151200000037,193,39.87478738267485
8.543264699999781,343,40.148586289268174
7.2298971000000165,266,36.79167162697231
3.454169100001309,140,40.530731399324644
7.152511300000697,296,41.3840660412478
13.29713929999889,512,38.50452254794704
10.151913199999399,423,41.66702292135684
9.899544400001105,399,40.30488514198244
3.2588337999986834,127,38.97099631164109
12.448402799998803,495,39.764137452239865
12.598658599999908,501,39.76613827761026
10.047642400000768,413,41.10416986973665
2.793907700001,118,42.23475242219267
8.871660099999644,357,40.24049568806342
4.665860900000553,195,41.79293043219032
7.375107099998786,296,40.13501037836436
6.569156100000328,258,39.27445109730109
7.152384499999243,283,39.56722404955018
5.693660000000818,227,39.86890681915804
12.397110699999757,468,37.75073170880124
7.786466300000029,304,39.04210052254369
6.394717799999853,258,40.34579915317075
7.777438099999927,314,40.37319178406614
5.26260369999909,213,40.47426181835368
1.5655666999991809,52,33.2148096916134
8.65810860000056,367,42.388010702473316
2.2458618999989994,96,42.74528188934625
12.29872819999946,512,41.63032076764023
3.261276999999609,96,29.436322029686995
5.961452999999892,247,41.43285202449881
9.572761100000207,395,41.26291211842646
3.2136234999998123,105,32.673398112755315
10.03248689999964,414,41.265939754181474
6.697580400001243,283,42.25406536365692
6.778497999999672,287,42.339763174675845
4.267720099998769,182,42.6457208381713
10.479147300000477,448,42.751570063337084
3.683286399998906,154,41.81048750378079
7.122074099999736,301,42.26296943470599
7.37734890000138,313,42.427165129731286
12.63675659999899,512,40.51672562879315
2.660866799998985,102,38.333373169990665
10.613105299999006,408,38.44303702518039
5.441281900000831,218,40.06408857441602
6.685355499999787,274,40.98510542932365
5.235598799999934,205,39.15502463634199
6.613889199999903,250,37.799242237079454
0.3858942999995634,8,20.731065475724964
8.888089599999148,322,36.228257644930906
2.331451999998535,93,39.88930503396958
4.7006051999997,184,39.14389576899837
0.4027605000010226,16,39.72584203257116
4.490546600000016,183,40.7522772394789
9.069557599999825,358,39.472708128564825
12.19462779999958,479,39.27959162476583
9.045886300000348,356,39.3549054446977
2.427591100000427,98,40.369236812568126
4.841170200001216,198,40.899202428361285
8.48001099999965,341,40.21221198887762
0.3094651999999769,14,45.23933547294185
10.987054100000023,417,37.953758687690375
10.014725900000485,370,36.94559428730666
3.987047500000699,152,38.12344849164033
1.8598958999991737,61,32.79753452869438
12.426234800001112,412,33.15565870362945
3.6919591999994736,124,33.58650333947831
5.850370300000577,209,35.72423441298739
14.754761100000906,512,34.700663503116196
5.005261399999654,188,37.56047586246205
2.2427906000011717,89,39.682706000263025
0.686819700000342,28,40.76761339254838
0.8176384999987931,32,39.13710032006472
6.9773229000002175,250,35.83036124069766
13.139277899999797,494,37.59719550493773
9.331006200000047,334,35.794639167638564
13.43907659999968,512,38.09785562201589
5.1423112000011315,191,37.142831806826074
13.921366200000193,512,36.77799956156551
7.130749799998739,262,36.74227919202078
8.21628149999924,305,37.121415569808335
8.309370400000262,310,37.30727902080165
11.520834099999774,422,36.62929231834076
5.374701099999584,204,37.955599056478846
13.762051400000928,512,37.20375582959714
12.611972100001367,483,38.29694485289479
1.0061255999989953,36,35.78082100290058
8.30301959999997,308,37.094938328219904
6.400661599998784,245,38.277293084834625
4.239543399999093,161,37.97578767563376
5.293722799999159,204,38.536207449327044
10.034724299999652,384,38.267120104138115
4.420774199999869,171,38.68100750316654
8.544276000000536,319,37.33493627780516
14.158986300000834,512,36.160780803917426
14.116897600000812,512,36.268592045320965
